Element	English	Esperanto
Seaborgium	Scientists working at the Joint Institute for Nuclear Research in Dubna, USSR reported their discovery of element 106 in June 1974.<br><br>Synthesis was also reported in September 1974 at the Lawrence Berkeley Laboratory by the workers of the Lawrence Berkeley and Livermore Laboratories led by Albert Ghiorso and E. Kenneth Hulet.<br><br>It was produced by collisions of californium-249 with oxygen atoms.	Sciencistoj laborante ĉe la Komuna Instituto por Nuklea Esploro en Dubna, USSR raportis ilian malkovron de elemento 106 en junio 1974.<br><br>Sintezado estis ankaŭ raportita en septembro 1974 ĉe la Lawrence Berkeley Laboratorio de la laboristoj de la Lawrence Berkeley kaj Livermore Laboratorioj gviditaj de Albert Ghiorso kaj E. Kenneth Hulet.<br><br>Ĝi estis produktita per kolizioj de kalifornio-249 kun oksigenaj atomoj.
Bohrium	Bohrium was first convincingly synthesized in 1981 by a German research team led by Peter Armbruster and Gottfried Münzenberg at the Institute for Heavy Ion Research (Gesellschaft für Schwerionenforschung) in Darmstadt.<br><br>The team bombarded a target of bismuth-209 with accelerated nuclei of chromium-54 to produce 5 atoms of the isotope bohrium-262.	Boriono estis unue konvinke sintetigita en 1981 de germana esplorteamo gvidita de Peter Armbruster kaj Gottfried Münzenberg ĉe la Instituto por Peza-Jona Esploro (Gesellschaft für Schwerionenforschung) en Darmstadt.<br><br>La teamo bombadis celon de bismuto-209 per akcelitaj nukleoj de kromo-54 por produkti 5 atomojn de la izotopo borio-262.
Hassium	Hassium was first synthesized in 1984 by a German research team led by Peter Armbruster and Gottfried Münzenberg at the Institute for Heavy Ion Research (Gesellschaft für Schwerionenforschung) in Darmstadt.<br><br>The team bombarded a target of lead-208 with accelerated nuclei of iron-58 to produce 3 atoms of the isotope hassium-265.	Hasio estis unue sintetigita en 1984 de germana esplorteamo gvidita de Peter Armbruster kaj Gottfried Münzenberg ĉe la Instituto por Peza-Jona Esploro (Gesellschaft für Schwerionenforschung) en Darmstadt.<br><br>La teamo bombadis celon de plumbo-208 per akcelitaj nukleoj de fero-58 por produkti 3 atomojn de la izotopo hasio-265.
Meitnerium	Meitnerium was first synthesized in 1982 by a German research team led by Peter Armbruster and Gottfried Münzenberg at the Institute for Heavy Ion Research (Gesellschaft für Schwerionenforschung) in Darmstadt.<br><br>The team bombarded a target of bismuth-209 with accelerated nuclei of iron-58 and detected a single atom of the isotope meitnerium-266.	Majtnerio estis unue sintetigita en 1982 de germana esplorteamo gvidita de Peter Armbruster kaj Gottfried Münzenberg ĉe la Instituto por Peza-Jona Esploro (Gesellschaft für Schwerionenforschung) en Darmstadt.<br><br>La teamo bombadis celon de bismuto-209 per akcelitaj nukleoj de fero-58 kaj detektis ununuran atomon de la izotopo majtnerio-266.
Darmstadtium	Darmstadtium was first created in 1994, at the Institute for Heavy Ion Research (Gesellschaft für Schwerionenforschung) in Darmstadt, Germany, by Peter Armbruster and Gottfried Münzenberg, under the direction of Sigurd Hofmann.<br><br>The team bombarded a lead-208 target with accelerated nuclei of nickel-62 and detected a single atom of the isotope darmstadtium-269.	Darmstadtio estis unue kreita en 1994, ĉe la Instituto por Peza-Jona Esploro (Gesellschaft für Schwerionenforschung) en Darmstadt, Germanio, de Peter Armbruster kaj Gottfried Münzenberg, sub la direktado de Sigurd Hofmann.<br><br>La teamo bombadis plumbo-208 celon per akcelitaj nukleoj de nikelo-62 kaj detektis ununuran atomon de la izotopo darmstadtio-269.
Roentgenium	Roentgenium was first synthesized by an international team led by Sigurd Hofmann at the Institute for Heavy Ion Research (Gesellschaft für Schwerionenforschung) in Darmstadt, Germany in 1994.<br><br>The team bombarded a target of bismuth-209 with accelerated nuclei of nickel-64 and detected a single atom of the isotope roentgenium-272.	Roentgenio estis unue sintetigita de internacia teamo gvidita de Sigurd Hofmann ĉe la Instituto por Peza-Jona Esploro (Gesellschaft für Schwerionenforschung) en Darmstadt, Germanio en 1994.<br><br>La teamo bombadis celon de bismuto-209 per akcelitaj nukleoj de nikelo-64 kaj detektis ununuran atomon de la izotopo roentgenio-272.
Copernicium	Copernicium was first created on February 9, 1996, at the Institute for Heavy Ion Research (Gesellschaft für Schwerionenforschung) in Darmstadt, Germany, by Sigurd Hofmann, Victor Ninov et al.<br><br>This element was created by firing accelerated zinc-70 nuclei at a target made of lead-208 nuclei in a heavy ion accelerator.<br><br>A single atom of copernicium was produced with a mass number of 277.	Kopernikio estis unue kreita la 9-an de februaro 1996, ĉe la Instituto por Peza-Jona Esploro (Gesellschaft für Schwerionenforschung) en Darmstadt, Germanio, de Sigurd Hofmann, Victor Ninov kaj aliaj.<br><br>Tiu ĉi elemento estis kreita per pafado de akcelitaj zinko-70 nukleoj al celo farita de plumbo-208 nukleoj en peza-jona akcelilo.<br><br>Ununura atomo de kopernikio estis produktita kun masa nombro de 277.
Nihonium	Nihonium was identified in 2003 as an alpha decay product of element 115, moscovium by a team composed of Russian scientists at Joint Institute for Nuclear Research, Dubna and American scientists at the Lawrence Livermore National Laboratory.<br><br>The Dubna-Livermore collaboration has strengthened their claim for the discovery of nihonium by conducting chemical experiments on the final decay product <sup>268</sup>Db.	Nihonio estis identigita en 2003 kiel alfa-putriĝa produkto de elemento 115, moskovio de teamo komposta de rusaj sciencistoj ĉe Komuna Instituto por Nuklea Esploro, Dubna kaj usonaj sciencistoj ĉe la Lawrence Livermore Nacia Laboratorio.<br><br>La Dubna-Livermore kunlaboro plifortigis sian aserton por la malkovro de nihonio per kondukado de kemiaj eksperimentoj sur la fina putriĝa produkto <sup>268</sup>Db.
Flerovium	Ununquadium (Uuq) was the temporary IUPAC systematic element name.<br><br>In 1998, a team led by Yuri Oganessian and Vladimir Utyonkov at the Joint Institute for Nuclear Research, Dubna produced flerovium by bombarding plutonium with calcium.<br><br>In an experiment lasting 40 days, 5 x 10<sup>18</sup> atoms of calcium to be fired at plutonium to produce a single atom of flerovium.	Ununquadium (Uuq) estis la provizora IUPAC sistema elemento nomo.<br><br>En 1998, teamo gvidita de Yuri Oganessian kaj Vladimir Utyonkov ĉe la Komuna Instituto por Nuklea Esploro, Dubna produktis flerovion per bombado de plutonio kun kalcio.<br><br>En eksperimento daŭranta 40 tagojn, 5 × 10<sup>18</sup> atomoj da kalcio estis pafitaj al plutonio por produkti ununuran atomon de flerovio.
Moscovium	Moscovium was identified in 2004 by a team composed of Russian scientists at the Joint Institute for Nuclear Research in Dubna, and American scientists at the Lawrence Livermore National Laboratory.<br><br>The team reported that they bombarded americium-243 with calcium-48 ions to produce four atoms of moscovium.<br><br>These atoms decayed by emission of alpha-particles to nihonium in approximately 100 milliseconds.	Moskovio estis identigita en 2004 de teamo komposta de rusaj sciencistoj ĉe la Komuna Instituto por Nuklea Esploro en Dubna, kaj usonaj sciencistoj ĉe la Lawrence Livermore Nacia Laboratorio.<br><br>La teamo raportis ke ili bombadis americio-243 per kalcio-48 jonoj por produkti kvar atomojn de moskovio.<br><br>Tiuj atomoj putriĝis per emisio de alfa-partikloj al nihonio en ĉirkaŭ 100 milisekundoj.
Livermorium	Ununhexium (Uuh) was the temporary IUPAC systematic element name.<br><br>Livermorium was identified in 2000 by a team composed of Russian scientists at Joint Institute for Nuclear Research, Dubna and American scientists at the Lawrence Livermore National Laboratory led by Yuri Oganessian and Ken Moody.	Ununhexium (Uuh) estis la provizora IUPAC sistema elemento nomo.<br><br>Livermoriumo estis identigita en 2000 de teamo komposta de rusaj sciencistoj ĉe Komuna Instituto por Nuklea Esploro, Dubna kaj usonaj sciencistoj ĉe la Lawrence Livermore Nacia Laboratorio gviditaj de Yuri Oganessian kaj Ken Moody.
Tennessine	Tennessine was identified in 2010 by a team composed of Russian scientists at Joint Institute for Nuclear Research, Dubna and American scientists at the Lawrence Livermore National Laboratory.<br><br>It was produced by the bombardment of berkelium with calcium.<br><br>Ununseptium was the temporary IUPAC systematic element name.	Tenesino estis identigita en 2010 de teamo komposta de rusaj sciencistoj ĉe Komuna Instituto por Nuklea Esploro, Dubna kaj usonaj sciencistoj ĉe la Lawrence Livermore Nacia Laboratorio.<br><br>Ĝi estis produktita per la bombado de berkelio kun kalcio.<br><br>Ununseptium estis la provizora IUPAC sistema elemento nomo.
Oganesson	Oganesson was identified in 2002 by a team composed of Russian scientists at Joint Institute for Nuclear Research, Dubna and American scientists at the Lawrence Livermore National Laboratory.<br><br>It was produced by the bombardment of californium with calcium.<br><br>Ununoctium was the temporary IUPAC systematic element name.	Oganesono estis identigita en 2002 de teamo komposta de rusaj sciencistoj ĉe Komuna Instituto por Nuklea Esploro, Dubna kaj usonaj sciencistoj ĉe la Lawrence Livermore Nacia Laboratorio.<br><br>Ĝi estis produktita per la bombado de kalifornio kun kalcio.<br><br>Ununoktium estis la provizora IUPAC sistema elemento nomo.
		
Hydrogen	Liquid hydrogen is used as a rocket fuel.<br><br>Hydrogen is commonly used in power stations as a coolant in generators.<br><br>Hydrogen's two heavier isotopes (deuterium and tritium) are used in nuclear fusion.<br><br>Used as a shielding gas in welding methods such as atomic hydrogen welding.	Likva hidrogeno estas uzata kiel raketa brulaĵo.<br><br>Hidrogeno estas ofte uzata en elektrocentraloj kiel malvarmigaĵo en generatoroj.<br><br>La du pezaj izotopoj de hidrogeno (deuterio kaj tritio) estas uzataj en nuklea fuziado.<br><br>Uzata kiel ŝirma gaso en soldaj metodoj kiel atomhidrogena soldado.
Helium	Helium is used as a protective gas in growing silicon and germanium crystals, in titanium and zirconium production, and in gas chromatography.<br><br>Helium at low temperatures is used in cryogenics.<br><br>Helium is used for filling balloons and for pressurizing liquid fuel rockets.<br><br>Helium is used as a shielding gas in arc welding processes.	Helio estas uzata kiel protekta gaso dum kreskigo de siliciaj kaj germaniaj kristaloj, en titanio kaj zirkonia produktado, kaj en gasa kromatografio.<br><br>Helio ĉe malaltaj temperaturoj estas uzata en kriogeniko.<br><br>Helio estas uzata por plenigi balonojn kaj por premi likvaĵo-brulaĵajn raketojn.<br><br>Helio estas uzata kiel ŝirma gaso en arkosolda procezoj.
Lithium	Pure lithium metal is used in rechargeable lithium ion batteries.<br><br>Lithium stearate is used as an all-purpose and high-temperature lubricant.<br><br>Lithium is used in special glasses and ceramics.<br><br>Metallic lithium and its complex hydrides are used as high energy additives to rocket propellants.	Pura litia metalo estas uzata en reŝargeblaj litia-jona baterioj.<br><br>Litia stearato estas uzata kiel ĉiucela kaj alttemperatura lubrikanto.<br><br>Litio estas uzata en specialaj glasoj kaj ceramikaĵoj.<br><br>Metala litio kaj ĝiaj kompleksaj hidridoj estas uzataj kiel altenergietikaj aldonaĵoj al raketaj propelantoj.
Beryllium	Beryllium is used in nuclear reactors as a reflector or moderator.<br><br>Beryllium metal is used for lightweight structural components in the defense and aerospace industries in high-speed aircraft, guided missiles, space vehicles and satellites.<br><br>Unlike most metals, beryllium is virtually transparent to x-rays and hence it is used in radiation windows for x-ray tubes.	Berilio estas uzata en nukleaj reaktoroj kiel reflektoro aŭ moderatoro.<br><br>Beria metalo estas uzata por malpezaj strukturaj komponentoj en la defenda kaj aerokosma industrioj en altrapidaj aviadiloj, gviditaj misiloj, kosma veturiloj kaj satelitoj.<br><br>Male al la plej multaj metaloj, berilio estas praktike travidebla al X-radioj kaj sekve uzata en radiacia fenestroj por X-radia tuboj.
Boron	Boron oxide is used in glassmaking and ceramics.<br><br>Borax is used in making fiberglass, as a cleansing fluid, a water softener, insecticide, herbicide and disinfectant.<br><br>Boric acid is used as a mild antiseptic and as a flame retardant.<br><br>Boron shielding is used as a control for nuclear reactors.	Bora oksido estas uzata en glasfarado kaj ceramikaĵoj.<br><br>Borakso estas uzata en farado de vitrofibro, kiel puriga fluido, akva molgigilo, insekticido, herbicido kaj dezinfektanto.<br><br>Bora acido estas uzata kiel milda antiseptiko kaj kiel flamhaltiganto.<br><br>Bora ekranado estas uzata kiel kontrolo por nukleaj reaktoroj.
Carbon	The major use of carbon other than food and wood is in the form of hydrocarbons, most notably the fossil fuel methane gas and crude oil.<br><br>Graphite is used for pencil tips, high temperature crucibles, dry cells, electrodes and as a lubricant.<br><br>Diamonds are used in jewelry and in industry for cutting, drilling, grinding, and polishing.<br><br>Carbon black is used as the black pigment in printing ink.	La ĉefa uzo de karbono krom manĝaĵo kaj ligno estas en la formo de hidrokarbonoj, plej precipe la fosilia brulaĵo metangaso kaj kruda nafto.<br><br>Grafito estas uzata por krajona pintoj, alttemperaturaj tigletoj, sekaj ĉeloj, elektrodoj kaj kiel lubrikanto.<br><br>Diamantoj estas uzataj en juvelaĵoj kaj en industrio por tranĉado, borpremado, grinado kaj polurado.<br><br>Karbona nigro estas uzata kiel la nigra pigmento en presfarba inko.
Nitrogen	Nitrogen is used to produce ammonia and fertilizers, vital for current food production methods.<br><br>Liquid nitrogen is used as a refrigerant.<br><br>Nitric acid is used as an oxidizing agent in liquid fueled rockets.<br><br>Nitrogen is a constituent of molecules in every major drug class in pharmacology and medicine.	Nitrogeno estas uzata por produkti amoniakon kaj fertilizilojn, vitajn por nunaj manĝaĵoproduktaj metodoj.<br><br>Likva nitrogeno estas uzata kiel frigorifero.<br><br>Nitrata acido estas uzata kiel oksidanta agento en likvaĵo-brulaĵaj raketoj.<br><br>Nitrogeno estas konsistanto de molekuloj en ĉiu grava medikamenta klaso en farmakologio kaj medicino.
