Element	English	Malay
Thorium	Thorium was discovered by Jöns Jacob Berzelius in 1828, in Stockholm, Sweden.<br><br>Thorium was first observed to be radioactive in 1898, independently, by Polish-French physicist Marie Curie and German chemist Gerhard Carl Schmidt.<br><br>The crystal bar process was discovered by Anton Eduard van Arkel and Jan Hendrik de Boer in 1925 to produce high-purity metallic thorium.	Thorium ditemui oleh Jöns Jacob Berzelius pada tahun 1828, di Stockholm, Sweden.<br><br>Thorium pertama kali diperhatikan menjadi radioaktif pada tahun 1898, secara bebas, oleh ahli fizik Poland-Perancis Marie Curie dan ahli kimia Jerman Gerhard Carl Schmidt.<br><br>Proses bar kristal ditemui oleh Anton Eduard van Arkel dan Jan Hendrik de Boer pada tahun 1925 untuk menghasilkan thorium logam berketetulenan tinggi.
Protactinium	In 1900, William Crookes isolated protactinium as an intensely radioactive material from uranium<br><br>Protactinium was first identified in 1913 by Kasimir Fajans and Oswald Helmuth Göhring in Germany.<br><br>A more stable isotope of protactinium was discovered in 1917 by Otto Hahn and Lise Meitner at the Kaiser Wilhelm Institute in Berlin.	Pada tahun 1900, William Crookes mengasingkan protaktinium sebagai bahan yang sangat radioaktif dari uranium.<br><br>Protaktinium pertama kali dikenal pasti pada tahun 1913 oleh Kasimir Fajans dan Oswald Helmuth Göhring di Jerman.<br><br>Isotop protaktinium yang lebih stabil ditemui pada tahun 1917 oleh Otto Hahn dan Lise Meitner di Institut Kaiser Wilhelm di Berlin.
Uranium	Uranium was discovered in 1789 by the German chemist Martin Heinrich Klaproth.<br><br>In 1841, Eugène-Melchior Péligot isolated the first sample of uranium metal by heating uranium tetrachloride with potassium.<br><br>Antoine Henri Becquerel discovered radioactivity by using uranium in 1896.	Uranium ditemui pada tahun 1789 oleh ahli kimia Jerman Martin Heinrich Klaproth.<br><br>Pada tahun 1841, Eugène-Melchior Péligot mengasingkan sampel pertama logam uranium dengan memanaskan uranium tetraklorida dengan kalium.<br><br>Antoine Henri Becquerel menemui radioaktiviti menggunakan uranium pada tahun 1896.
Neptunium	Neptunium was the first synthetic transuranium element of the actinide series to be discovered.<br><br>Neptunium was first produced by Edwin McMillan and Philip H. Abelson in 1940 at Berkeley Radiation Laboratory of the University of California.<br><br>The team produced the neptunium isotope <sup>239</sup>Np by bombarding uranium with slow moving neutrons.	Neptunium adalah unsur transuranium sintetik pertama siri aktinida yang ditemui.<br><br>Neptunium pertama kali dihasilkan oleh Edwin McMillan dan Philip H. Abelson pada tahun 1940 di Makmal Radiasi Berkeley, Universiti California.<br><br>Pasukan itu menghasilkan isotop neptunium <sup>239</sup>Np dengan membombardir uranium dengan neutron bergerak perlahan.
Plutonium	Plutonium was first produced in 1940 by Glenn T. Seaborg, Edwin M. McMillan, Joseph W. Kennedy and Arthur Wahl.<br><br>Plutonium-238 was produced by deuteron bombardment of uranium-238 in the 60-inch cyclotron at the University of California, Berkeley.<br><br>The Berkeley team made neptunium-238 which decayed to plutonium-238.	Plutonium pertama kali dihasilkan pada tahun 1940 oleh Glenn T. Seaborg, Edwin M. McMillan, Joseph W. Kennedy dan Arthur Wahl.<br><br>Plutonium-238 dihasilkan melalui pemboman deuteron terhadap uranium-238 dalam siklotron 60-inci di Universiti California, Berkeley.<br><br>Pasukan Berkeley membuat neptunium-238 yang menjadi plutonium-238.
Americium	Americium-241 was first identified in 1944 by Glenn T. Seaborg, Ralph A. James, Leon O. Morgan and Albert Ghiorso at the metallurgical laboratory at the University of Chicago.<br><br>It was produced by irradiating plutonium with neutrons during the Manhattan Project.<br><br>Americium was first isolated as a pure compound by Burris Cunningham in 1945, at the University of Chicago.	Americium-241 pertama kali dikenal pasti pada tahun 1944 oleh Glenn T. Seaborg, Ralph A. James, Leon O. Morgan dan Albert Ghiorso di makmal metalurgi Universiti Chicago.<br><br>Ia dihasilkan dengan menyinari plutonium dengan neutron semasa Projek Manhattan.<br><br>Americium pertama kali diasingkan sebagai sebatian tulen oleh Burris Cunningham pada tahun 1945, di Universiti Chicago.
Curium	Curium was discovered by Glenn T. Seaborg, Ralph A. James and Albert Ghiorso in 1944 at the University of California, Berkeley.<br><br>It was produced by bombarding plutonium with alpha particles during the Manhattan Project.<br><br>Curium metal was produced only in 1951 by reduction of curium fluoride with barium.	Curium ditemui oleh Glenn T. Seaborg, Ralph A. James dan Albert Ghiorso pada tahun 1944 di Universiti California, Berkeley.<br><br>Ia dihasilkan dengan membombardir plutonium dengan zarah alfa semasa Projek Manhattan.<br><br>Logam curium hanya dihasilkan pada tahun 1951 melalui penurunan curium fluorida dengan barium.
Berkelium	Berkelium was discovered by Glenn T. Seaborg, Albert Ghiorso and Stanley G. Thompson in 1949 at the University of California, Berkeley.<br><br>It was produced by the bombardment of americium with alpha particles.<br><br>Berkelium was isolated in greater quantities for the first time by Burris Cunningham and Stanley Thompson in 1958.	Berkelium ditemui oleh Glenn T. Seaborg, Albert Ghiorso dan Stanley G. Thompson pada tahun 1949 di Universiti California, Berkeley.<br><br>Ia dihasilkan melalui pemboman americium dengan zarah alfa.<br><br>Berkelium diasingkan dalam kuantiti yang lebih besar buat kali pertama oleh Burris Cunningham dan Stanley Thompson pada tahun 1958.
Californium	Californium was discovered by Stanley G. Thompson, Kenneth Street, Jr., Albert Ghiorso and Glenn T. Seaborg in 1950 at the University of California, Berkeley.<br><br>It was produced by the bombardment of curium with alpha particles.<br><br>Californium was isolated in macro quantities for the first time by Burris Cunningham and Stanley Thompson in 1958.	Californium ditemui oleh Stanley G. Thompson, Kenneth Street, Jr., Albert Ghiorso dan Glenn T. Seaborg pada tahun 1950 di Universiti California, Berkeley.<br><br>Ia dihasilkan melalui pemboman curium dengan zarah alfa.<br><br>Californium diasingkan dalam kuantiti makro buat kali pertama oleh Burris Cunningham dan Stanley Thompson pada tahun 1958.
Einsteinium	Einsteinium was discovered as a component of the debris of the first hydrogen bomb explosion in 1952.<br><br>It was identified by Albert Ghiorso and co-workers at the University of California, Berkeley in collaboration with the Argonne and Los Alamos National Laboratories, in the fallout from the Ivy Mike nuclear test.<br><br>The new element was produced by the nuclear explosion in miniscule amounts by the addition of 15 neutrons to uranium-238.	Einsteinium ditemui sebagai komponen debris dari letupan bom hidrogen pertama pada tahun 1952.<br><br>Ia dikenal pasti oleh Albert Ghiorso dan rakan-rakan di Universiti California, Berkeley dengan kerjasama Argonne dan Los Alamos National Laboratories, dalam kejatuhan daripada ujian nuklear Ivy Mike.<br><br>Unsur baru itu dihasilkan oleh letupan nuklear dalam jumlah kecil melalui penambahan 15 neutron kepada uranium-238.
Fermium	Fermium was discovered as a component of the debris of the first hydrogen bomb explosion in 1952.<br><br>It was identified by Albert Ghiorso and co-workers at the University of California, Berkeley in collaboration with the Argonne and Los Alamos National Laboratories, in the fallout from the Ivy Mike nuclear test.<br><br>The new element was produced by the nuclear fission of 17 neutrons with uranium-238.	Fermium ditemui sebagai komponen debris dari letupan bom hidrogen pertama pada tahun 1952.<br><br>Ia dikenal pasti oleh Albert Ghiorso dan rakan-rakan di Universiti California, Berkeley dengan kerjasama Argonne dan Los Alamos National Laboratories, dalam kejatuhan daripada ujian nuklear Ivy Mike.<br><br>Unsur baru itu dihasilkan melalui fisi nuklear 17 neutron dengan uranium-238.
Mendelevium	Mendelevium was discovered by Albert Ghiorso, Glenn T. Seaborg, Gregory R. Choppin, Bernard G. Harvey and Stanley G. Thompson in 1955 at the University of California, Berkeley.<br><br>It was produced by the bombardment of einsteinium with helium.<br><br>Mendelevium was identified by chemical analysis in an ion exchange experiment.	Mendelevium ditemui oleh Albert Ghiorso, Glenn T. Seaborg, Gregory R. Choppin, Bernard G. Harvey dan Stanley G. Thompson pada tahun 1955 di Universiti California, Berkeley.<br><br>Ia dihasilkan melalui pemboman einsteinium dengan helium.<br><br>Mendelevium dikenal pasti melalui analisis kimia dalam eksperimen pertukaran ion.
Nobelium	Nobelium was discovered by Albert Ghiorso, Glenn T. Seaborg, John R. Walton and Torbjørn Sikkeland in 1958 at the University of California, Berkeley.<br><br>It was produced by the bombardment of curium with carbon atoms.<br><br>It was correctly identified in 1966 by scientists at the Flerov Laboratory of Nuclear Reactions in Dubna, Soviet Union.	Nobelium ditemui oleh Albert Ghiorso, Glenn T. Seaborg, John R. Walton dan Torbjørn Sikkeland pada tahun 1958 di Universiti California, Berkeley.<br><br>Ia dihasilkan melalui pemboman curium dengan atom karbon.<br><br>Ia dikenal pasti dengan betul pada tahun 1966 oleh saintis di Makmal Flerov bagi Tindak Balas Nuklear di Dubna, Kesatuan Soviet.
Lawrencium	Lawrencium was discovered by Albert Ghiorso, Torbjørn Sikkeland, Almon Larsh and Robert M. Latimer in 1961 at the University of California, Berkeley.<br><br>It was produced by the bombardment of californium with boron atoms.<br><br>Lawrencium was the last member of the actinide series to be discovered.	Lawrencium ditemui oleh Albert Ghiorso, Torbjørn Sikkeland, Almon Larsh dan Robert M. Latimer pada tahun 1961 di Universiti California, Berkeley.<br><br>Ia dihasilkan melalui pemboman californium dengan atom boron.<br><br>Lawrencium adalah ahli terakhir siri aktinida yang ditemui.
Rutherfordium	Rutherfordium was reportedly first detected in 1964 at the Joint Institute of Nuclear Research at Dubna.<br><br>The element was synthesized by Albert Ghiorso, Matti Nurmia, James Andrew Harris, Kari Eskola and Pirkko Eskola in 1968 at the University of California, Berkeley.<br><br>It was produced by the bombardment of californium with carbon atoms.	Rutherfordium dilaporkan pertama kali dikesan pada tahun 1964 di Institut Penyelidikan Nuklear Bersama di Dubna.<br><br>Unsur ini disintesis oleh Albert Ghiorso, Matti Nurmia, James Andrew Harris, Kari Eskola dan Pirkko Eskola pada tahun 1968 di Universiti California, Berkeley.<br><br>Ia dihasilkan melalui pemboman californium dengan atom karbon.
Dubnium	Dubnium was reportedly first discovered in 1968 at the Joint Institute for Nuclear Research at Dubna.<br><br>Researchers there bombarded an americium-243 target with neon-22 ions.<br><br>In the same year, a team led by Albert Ghiorso working at the University of California, Berkeley conclusively synthesized the element by bombarding a californium-249 target with nitrogen-15 ions.	Dubnium dilaporkan pertama kali ditemui pada tahun 1968 di Institut Penyelidikan Nuklear Bersama di Dubna.<br><br>Penyelidik di sana membombardir sasaran americium-243 dengan ion neon-22.<br><br>Pada tahun yang sama, pasukan yang dipimpin oleh Albert Ghiorso yang bekerja di Universiti California, Berkeley, secara konklusif mensintesis unsur tersebut dengan membombardir sasaran californium-249 dengan ion nitrogen-15.
Seaborgium	Scientists working at the Joint Institute for Nuclear Research in Dubna, USSR reported their discovery of element 106 in June 1974.<br><br>Synthesis was also reported in September 1974 at the Lawrence Berkeley Laboratory by the workers of the Lawrence Berkeley and Livermore Laboratories led by Albert Ghiorso and E. Kenneth Hulet.<br><br>It was produced by collisions of californium-249 with oxygen atoms.	Saintis yang bekerja di Institut Penyelidikan Nuklear Bersama di Dubna, USSR melaporkan penemuan mereka terhadap unsur 106 pada Jun 1974.<br><br>Sintesis juga dilaporkan pada September 1974 di Makmal Lawrence Berkeley oleh pekerja Makmal Lawrence Berkeley dan Livermore yang dipimpin oleh Albert Ghiorso dan E. Kenneth Hulet.<br><br>Ia dihasilkan melalui pelanggaran californium-249 dengan atom oksigen.
Bohrium	Bohrium was first convincingly synthesized in 1981 by a German research team led by Peter Armbruster and Gottfried Münzenberg at the Institute for Heavy Ion Research (Gesellschaft für Schwerionenforschung) in Darmstadt.<br><br>The team bombarded a target of bismuth-209 with accelerated nuclei of chromium-54 to produce 5 atoms of the isotope bohrium-262.	Bohrium pertama kali disintesis secara meyakinkan pada tahun 1981 oleh pasukan penyelidik Jerman yang dipimpin oleh Peter Armbruster dan Gottfried Münzenberg di Institut Penyelidikan Ion Berat (Gesellschaft für Schwerionenforschung) di Darmstadt.<br><br>Pasukan itu membombardir sasaran bismut-209 dengan nukleus dipercepat krom-54 untuk menghasilkan 5 atom isotop bohrium-262.
Hassium	Hassium was first synthesized in 1984 by a German research team led by Peter Armbruster and Gottfried Münzenberg at the Institute for Heavy Ion Research (Gesellschaft für Schwerionenforschung) in Darmstadt.<br><br>The team bombarded a target of lead-208 with accelerated nuclei of iron-58 to produce 3 atoms of the isotope hassium-265.	Hassium pertama kali disintesis pada tahun 1984 oleh pasukan penyelidik Jerman yang dipimpin oleh Peter Armbruster dan Gottfried Münzenberg di Institut Penyelidikan Ion Berat (Gesellschaft für Schwerionenforschung) di Darmstadt.<br><br>Pasukan itu membombardir sasaran plumbum-208 dengan nukleus dipercepat besi-58 untuk menghasilkan 3 atom isotop hassium-265.
Meitnerium	Meitnerium was first synthesized in 1982 by a German research team led by Peter Armbruster and Gottfried Münzenberg at the Institute for Heavy Ion Research (Gesellschaft für Schwerionenforschung) in Darmstadt.<br><br>The team bombarded a target of bismuth-209 with accelerated nuclei of iron-58 and detected a single atom of the isotope meitnerium-266.	Meitnerium pertama kali disintesis pada tahun 1982 oleh pasukan penyelidik Jerman yang dipimpin oleh Peter Armbruster dan Gottfried Münzenberg di Institut Penyelidikan Ion Berat (Gesellschaft für Schwerionenforschung) di Darmstadt.<br><br>Pasukan itu membombardir sasaran bismut-209 dengan nukleus dipercepat besi-58 dan mengesan satu atom tunggal isotop meitnerium-266.
